SYMBOL,NAME,INDUSTRY,MARKET_CAP
CAPL,CrossAmerica Partners LP,"Oil, Gas & Consumable Fuels",799958012
CAPR,Capricor Therapeutics,Biotechnology,128431781
CAR,Avis Budget Group,Road & Rail,8983110620
CARA,Cara Therapeutics,Pharmaceuticals,624832182
CARE,Carter Bankshares,Banks,398401242
CARG,Cargurus,Interactive Media & Services,2407910138
CARR,Carrier Global,Building Products,36230148063
CARS,Cars.com,Interactive Media & Services,887665083
CARV,Carver Bancorp,Thrifts & Mortgage Finance,26500473
CASA,Casa Systems,Communications Equipment,398420319
CASH,Meta Financial Group,Thrifts & Mortgage Finance,1055666860
CASI,CASI Pharmaceuticals,Biotechnology,53063790
CASS,Cass Information Systems,IT Services,498096319
CASY,Casey's General Stores,Food & Staples Retailing,7688358307
CAT,Caterpillar,Machinery,1.02414E+11
CATC,Cambridge Bancorp,Banks,581471094
CATO,The Cato Corporation,Specialty Retail,262551110
CATY,Cathay General Bancorp,Banks,3266981352
CB,Chubb,Insurance,81051148190
CBAN,Colony Bankcorp,Banks,255806460
CBAT,CBAK Energy Technology,Electrical Equipment,123674135
CBAY,CymaBay Therapeutics,Pharmaceuticals,316695357
CBD,Companhia Brasileira de Distribuicao,Food & Staples Retailing,916221823
CBFV,CB Financial Services,Banks,114943252
CBIO,Catalyst Biosciences,Biotechnology,58547407
CBL,CBL Properties,REIT-Retail,1013282301
CBNK,Capital Bancorp,Banks,350862475
CBOE,Cboe Global Markets,Capital Markets,12597737944
CBRE,CBRE Group,Real Estate Management & Development,27411945447
CBRG,Chain Bridge I,Blank Check / SPAC,286924990
CBRL,Cracker Barrel Old Country Store,"Hotels, Restaurants & Leisure",2401690554
CBSH,Commerce Bancshares,Banks,8644763634
CBT,Cabot,Chemicals,4191475142
CBTX,"CBTX, Inc.",Banks,785649636
CBU,Community Bank System,Banks,3776962789
CBZ,"CBIZ, Inc.",Professional Services,2337762778
CC,The Chemours Company,Chemicals,5584968180
CCAI,Cascadia Acquisition,Blank Check / SPAC,184874990
CCAP,Crescent Capital BDC,Asset Management,533116541
CCB,Coastal Financial,Banks,538886949
CCBG,Capital City Bank Group,Banks,555925821
CCCC,C4 Therapeutics,Biotechnology,565443516
CCCS,CCC Intelligent Solutions Holdings,Software-Infrastructure,5980088829
CCEL,Cryo-Cell International,Health Care Providers & Services,47058306
CCEP,Coca-Cola Europacific Partners,Beverages,24383557600
CCF,Chase,Chemicals,878022350
CCI,Crown Castle International,Equity Real Estate Investment Trusts ...,77462020076
CCJ,Cameco,"Oil, Gas & Consumable Fuels",10096393199
CCK,Crown Holdings,Containers & Packaging,11800356837
CCL,Carnival,"Hotels, Restaurants & Leisure",13519025146
CCLP,CSI Compressco LP,Energy Equipment & Services,180753920
CCM,Concord Medical Services Holding,Health Care Providers & Services,84663543
CCNC,Code Chain New Continent,Electronic Gaming & Multimedia,15253055
CCNE,CNB Financial,Banks,446455448
CCO,Clear Channel Outdoor Holdings,Media,809456768
CCOI,Cogent Communications Holdings,Diversified Telecommunication Services,2848214267
CCRD,CoreCard,Software,213318524
CCRN,Cross Country Healthcare,Health Care Providers & Services,848734904
CCS,Century Communities,Household Durables,1690147431
CCSI,Consensus Cloud Solutions,Software-Infrastructure,1111683069
CCTS,Cactus Acquisition 1,Blank Check / SPAC,158283135
CCU,"Compania Cervecerias Unidas,",Beverages,2041498616
CCV,Churchill Capital Corp V,Blank Check / SPAC,618124990
CCVI,Churchill Capital VI,Blank Check / SPAC,681720000
CCXI,ChemoCentryx,Biotechnology,3610679025
CD,Chindata Group Holdings,Information Technology Services,2744262400
CDAK,Codiak BioSciences,Biotechnology,51895751
CDAQ,Compass Digital Acquisition,Blank Check / SPAC,257009817
CDAY,Ceridian HCM Holding,Software,10254818263
CDE,Coeur Mining,Metals & Mining,881922430
CDEV,Centennial Resource Development,"Oil, Gas & Consumable Fuels",2052424828
CDLX,Cardlytics,Media,546694972
CDMO,Avid Bioservices,Biotechnology,1173004145
CDNA,CareDx,Biotechnology,1229536254
CDNS,Cadence Design Systems,Software,51035680649
CDRE,Cadre Holdings,Aerospace & Defense,993946932
CDRO,Codere Online Luxembourg,Gambling,135366000
CDTX,Cidara Therapeutics,Biotechnology,43501187
CDW,CDW Corporation,"Electronic Equipment, Instruments & C...",23763550165
CDXC,ChromaDex,Life Sciences Tools & Services,113435431
CDXS,Codexis,Life Sciences Tools & Services,546220794
CDZI,Cadiz,Water Utilities,206127405
CE,Celanese,Chemicals,12592320431
CEA,China Eastern Airlines,Airlines,11596921683
CECE,CECO Environmental,Commercial Services & Supplies,329122368
CEG,Constellation Energy,Electric Utilities,25765191665
CEI,Camber Energy,"Oil, Gas & Consumable Fuels",147487231
CEIX,CONSOL Energy,"Oil, Gas & Consumable Fuels",2412147416
CELC,Celcuity,Biotechnology,158975432
CELH,Celsius Holdings,Beverages,7799332786
CELU,Celularity,Biotechnology,454332575
CELZ,Creative Medical Technology Holdings,Biotechnology,7224855
CEMI,Chembio Diagnostics,Health Care Equipment & Supplies,25736245
CENN,Cenntro Electric Group,Auto Manufacturers,397109120
CENQ,CENAQ Energy,Blank Check / SPAC,219697230
CENT,Central Garden & Pet Company,Household Products,2299549674
CENTA,Central Garden & Pet Company,Household Products,2301441513
CENX,Century Aluminum Company,Metals & Mining,902617978
CEPU,Central Puerto,Independent Power and Renewable Elect...,566249981
CEQP,Crestwood Equity Partners LP,"Oil, Gas & Consumable Fuels",2852491494
CERE,Cerevel Therapeutics Holdings,Biotechnology,5291126260
CERS,Cerus,Health Care Equipment & Supplies,929722494
CERT,Certara,Health Information Services,3228017660
CET,Central Securities,Asset Management,1040485823
CETX,Cemtrex,"Electronic Equipment, Instruments & C...",8669514
CEVA,"CEVA, Inc.",Semiconductors & Semiconductor Equipment,759440938
CF,CF Industries Holdings,Chemicals,20398348262
CFB,CrossFirst Bankshares,Banks,709583865
CFBK,CF Bankshares,Thrifts & Mortgage Finance,134944368
CFFE,CF Acquisition VIII,Blank Check / SPAC,293726616
CFFI,C&F Financial,Banks,180213248
CFFN,Capitol Federal Financial,Thrifts & Mortgage Finance,1369149818
CFG,Citizens Financial Group,Banks,19518423033
CFIV,CF Acquisition IV,Blank Check / SPAC,628015039
CFLT,Confluent,Software-Infrastructure,8726290414
CFMS,Conformis,Health Care Equipment & Supplies,63730639
CFR,Cullen/Frost Bankers,Banks,8613031814
CFRX,ContraFect,Biotechnology,12181936
CFSB,CFSB Bancorp,Banks-Regional,58564318
CFVI,CF Acquisition VI,Blank Check / SPAC,383145979
CG,The Carlyle Group,Capital Markets,12411512822
CGA,China Green Agriculture,Chemicals,56725083
CGAU,Centerra Gold,Gold,1142236027
CGBD,TCG BDC,Capital Markets,757903616
CGC,Canopy Growth,Pharmaceuticals,1515493375
CGEM,Cullinan Oncology,Biotechnology,605273907
CGEN,Compugen,Life Sciences Tools & Services,126471918
CGNT,Cognyte Software,Software-Infrastructure,340777565
CGNX,Cognex,"Electronic Equipment, Instruments & C...",8406286317
CGRN,Capstone Green Energy,Specialty Industrial Machinery,42577368
CGTX,Cognition Therapeutics,Biotechnology,53824354
CHAA,Catcha Investment,Blank Check / SPAC,369749980
CHCI,Comstock Holding Companies,Household Durables,43299552
CHCO,City Holding Company,Banks,1305623528
CHCT,Community Healthcare Trust,Equity Real Estate Investment Trusts ...,1012003776
CHD,Church & Dwight Company,Household Products,21276397558
CHDN,Churchill Downs,"Hotels, Restaurants & Leisure",8014175089
CHE,Chemed,Health Care Providers & Services,7211735865
CHEF,The Chefs' Warehouse,Food & Staples Retailing,1275235830
CHEK,Check-Cap,Health Care Equipment & Supplies,40057367
CHGG,Chegg,Diversified Consumer Services,2792153843
CHH,Choice Hotels International,"Hotels, Restaurants & Leisure",6468806600
CHK,Chesapeake Energy,"Oil, Gas & Consumable Fuels",11759815606
CHKP,Check Point Software Technologies,Software,15155918745
CHMG,Chemung Financial,Banks,215645270
CHMI,Cherry Hill Mortgage Investment,Mortgage Real Estate Investment Trust...,137948128
CHNG,Change Healthcare,Health Care Technology,8020588527
CHNR,China Natural Resources,Metals & Mining,25768639
CHPT,ChargePoint Holdings,Electrical Equipment,5623912954
CHRA,Charah Solutions,Commercial Services & Supplies,141311516
CHRD,Chord Energy,"Oil, Gas & Consumable Fuels",5578491828
CHRS,Coherus BioSciences,Biotechnology,983216190
CHRW,C.H. Robinson Worldwide,Air Freight & Logistics,14547580924
CHS,Chico's FAS,Specialty Retail,804669438
CHT,Chunghwa Telecom Co.,Diversified Telecommunication Services,32208932856
CHTR,Charter Communications,Media,74895760976
CHUY,Chuy's Holdings,"Hotels, Restaurants & Leisure",424028250
CHWY,Chewy,Internet & Direct Marketing Retail,20315318244
CHX,ChampionX,Energy Equipment & Services,4442203129
CI,Cigna,Health Care Providers & Services,87263174570
CIA,Citizens,Insurance,191079501
CIAN,Cian PLC,Real Estate Services,237563117
CIB,Bancolombia,Banks,7694623744
CIDM,Cinedigm,Entertainment,118413783
CIEN,Ciena,Communications Equipment,7917896656
CIFR,Cipher Mining,Capital Markets,561868159
CIG,Companhia Energetica de Minas Gerais,Electric Utilities,6097892351
CIGI,Colliers International Group,Real Estate Management & Development,5479123893
CIH,China Index Holdings,Professional Services,58894063
CIIG,CIIG Capital Partners II,Blank Check / SPAC,358656220
CIM,Chimera Investment,Mortgage Real Estate Investment Trust...,2173824511
CINC,CinCor Pharma,Biotechnology,1294835451
CINF,Cincinnati Financial,Insurance,16359290781
CING,Cingulate,Biotechnology,16851006
CINT,CI&T Inc.,Software-Infrastructure,1895798139
CIO,City Office REIT,Equity Real Estate Investment Trusts ...,548762293
CION,CĪON Investment,Asset Management,559331448
CIR,CIRCOR International,Machinery,387703675
CISO,Cerberus Cyber Sentinel,Software-Infrastructure,415628800
CIVB,Civista Bancshares,Banks,350792960
CIVI,Civitas Resources,Oil & Gas E&P,5414837760
CIX,CompX International,Commercial Services & Supplies,319371840
CIXX,CI Financial,Asset Management,2273647860
CIZN,Citizens Holding Company,Banks,96941743
CJJD,China Jo-Jo Drugstores,Food & Staples Retailing,10055177
CKPT,Checkpoint Therapeutics,Biotechnology,114693264
CKX,CKX Lands,Real Estate Management & Development,21581175
CL,Colgate-Palmolive Company,Household Products,66312540159
CLAA,Colonnade Acquisition II,Blank Check / SPAC,405900000
CLAQ,CleanTech Acquisition,Blank Check / SPAC,222201562
CLAR,Clarus,Leisure Products,940718631
CLAS,Class Acceleration,Blank Check / SPAC,318909848
CLAY,Chavant Capital Acquisition,Blank Check / SPAC,100600000
CLB,Core Laboratories,Energy Equipment & Services,798639551
CLBK,Columbia Financial,Thrifts & Mortgage Finance,2404479978
CLBR,Colombier Acquisition,Blank Check / SPAC,210234365
CLBS,Caladrius Biosciences,Biotechnology,32115153
CLBT,Cellebrite DI,Software-Infrastructure,1000227323
CLDT,Chatham Lodging Trust,Equity Real Estate Investment Trusts ...,653030970
CLDX,Celldex Therapeutics,Biotechnology,1615050868
CLEU,China Liberal Education Holdings,Education & Training Services,9982843
CLF,Cleveland-Cliffs,Metals & Mining,10061446138
CLFD,Clearfield,Communications Equipment,1591737681
CLGN,CollPlant Biotechnologies,Biotechnology,105210875
CLH,Clean Harbors,Commercial Services & Supplies,6220786165
CLIM,Climate Real Impact Solutions II Acquisition,Blank Check / SPAC,298252509
CLIR,ClearSign Technologies,"Electronic Equipment, Instruments & C...",42505792
CLLS,Cellectis,Biotechnology,171575708
CLMT,Calumet Specialty Products Partners,"Oil, Gas & Consumable Fuels",1252946035
CLNE,Clean Energy Fuels,"Oil, Gas & Consumable Fuels",1837775997
CLNN,Clene,Biotechnology,218234925
CLOE,Clover Leaf Capital,Blank Check / SPAC,184649569
CLOV,"Clover Health Investments,",Health Care Providers & Services,1485469695
CLPR,Clipper Realty,Equity Real Estate Investment Trusts ...,375915895
CLPS,CLPS Incorporation,IT Services,39585392
CLPT,ClearPoint Neuro,Health Care Equipment & Supplies,391078135
CLR,Continental Resources,"Oil, Gas & Consumable Fuels",24890978295
CLRB,Cellectar BioSciences,Biotechnology,35744196
CLRM,Clarim Acquisition,Blank Check / SPAC,354343740
CLRO,ClearOne,Communications Equipment,16773598
CLS,Celestica,"Electronic Equipment, Instruments & C...",1380916477
CLSD,Clearside Biomedical,Pharmaceuticals,93233120
CLSK,Cleanspark,Software,268446042
CLSN,Celsion,Biotechnology,18669686
CLST,Catalyst Bancorp,Banks-Regional,64067970
CLVR,Clever Leaves Holdings,Drug Manufacturers-Specialty & Generic,40941879
CLVS,Clovis Oncology,Biotechnology,209496000
CLVT,Clarivate,Professional Services,8709522422
CLW,Clearwater Paper,Paper & Forest Products,732273210
CLWT,Euro Tech Holdings Company,Trading Companies & Distributors,14459081
CLX,The Clorox Company,Household Products,17810601863
CLXT,Calyxt,Biotechnology,12732129
CM,Canadian Imperial Bank of Commerce,Banks,47154221046
CMA,Comerica,Banks,11029434284
CMAX,CareMax,Health Information Services,700618680
CMBM,Cambium Networks,Communications Equipment,549530355
CMC,Commercial Metals Company,Metals & Mining,5162996200
CMCA,Capitalworks Emerging Markets Acquisition,Blank Check / SPAC,288649979
CMCL,Caledonia Mining,Metals & Mining,138597480
CMCM,Cheetah Mobile,Software,109231471
CMCO,Columbus McKinnon,Machinery,948330859
CMCSA,Comcast,Media,1.73882E+11
CMCT,CIM Commercial Trust,Equity Real Estate Investment Trusts ...,166623101
CME,CME Group,Capital Markets,71534952321
CMG,Chipotle Mexican Grill,"Hotels, Restaurants & Leisure",45350824728
CMI,Cummins,Machinery,31565289407
CMLS,Cumulus Media,Media,173293143
CMMB,Chemomab Therapeutics,Biotechnology,42538781
CMP,Compass Minerals International,Metals & Mining,1424513658
CMPO,CompoSecure,Shell Companies,489559006
CMPR,Cimpress,Commercial Services & Supplies,1090642677
CMPS,COMPASS Pathways,Health Care Providers & Services,736913209
CMPX,Compass Therapeutics,Biotechnology,278533758
CMRA, Comera Life Sciences Holdings,Biotechnology,53253288
CMRE,Costamare,Marine,1476226813
CMRX,Chimerix,Biotechnology,209418735
CMS,CMS Energy,Multi-Utilities,19930660799
CMT,Core Molding Technologies,Chemicals,113080117
CMTG,Claros Mortgage Trust,REIT-Mortgage,2606713083
CMTL,Comtech Telecommunications,Communications Equipment,346629780
CNA,CNA Financial,Insurance,11235319790
CNC,Centene,Health Care Providers & Services,54532472829
CNCE,Concert Pharmaceuticals,Biotechnology,340335645
CND,Concord Acquisition,Blank Check / SPAC,353577529
CNDA,Concord Acquisition II,Blank Check / SPAC,340668696
CNDB,Concord Acquisition III,Blank Check / SPAC,431249980
CNDT,Conduent,IT Services,962445757
CNET,ZW Data Action Technologies,Media,36490527
CNEY,CN Energy Group,Other Chemical and Fertilizer Mineral...,50091412
CNF,CNFinance Holdings,Thrifts & Mortgage Finance,163911469
CNFR,Conifer Holdings,Insurance,14524403
CNGL,Canna-Global Acquisition,Blank Check / SPAC,270548186
CNHI,CNH Industrial,Machinery,17929949179
CNI,Canadian National Railway Company,Road & Rail,86784966634
CNK,Cinemark Holdings,Entertainment,2051914231
CNM,Core & Main,Industrial Distribution,4084179443
CNMD,CONMED,Health Care Equipment & Supplies,3063081701
CNNB,Cincinnati Bancorp,Banks-Regional,44565686
CNNE,Cannae Holdings,Diversified Financial Services,1854448763
CNO,CNO Financial Group,Insurance,2231905019
CNOB,ConnectOne Bancorp,Banks,1090173290
CNP,CenterPoint Energy,Multi-Utilities,20087439357
CNQ,Canadian Natural Resources,"Oil, Gas & Consumable Fuels",64458342361
CNS,Cohen & Steers,Capital Markets,3761417917
CNSL,Consolidated Communications Holdings,Diversified Telecommunication Services,775461120
CNSP,CNS Pharmaceuticals,Pharmaceuticals,10388433
CNTA,Centessa Pharmaceuticals,Biotechnology,402495484
CNTB,Connect Biopharma Holdings,Biotechnology,87475118
CNTG,Centogene,Biotechnology,40351584
CNTQ,Chardan NexTech Acquisition 2,Blank Check / SPAC,162236250
CNTX,Context Therapeutics,Pharmaceuticals,32411180
CNTY,Century Casinos,"Hotels, Restaurants & Leisure",264595022
CNVY,Convey Holding Parent,Health Information Services,770003005
CNX,CNX Resources,"Oil, Gas & Consumable Fuels",3228262131
CNXC,Concentrix,IT Services,6946379148
CNXN,PC Connection,"Electronic Equipment, Instruments & C...",1288719981
CO,Global Cord Blood,Health Care Providers & Services,314817087
COCO,The Vita Coco Company,Beverages-Non-Alcoholic,714565247
COCP,Cocrystal Pharma,Pharmaceuticals,41395083
CODA,Coda Octopus Group,"Electronic Equipment, Instruments & C...",54291500
CODI,Compass Diversified Holdings,Diversified Financial Services,1728584694
CODX,Co-Diagnostics,Health Care Equipment & Supplies,218225260
COE,China Online Education Group,Diversified Consumer Services,35412799
COF,Capital One Financial,Consumer Finance,44242698208
COFS,ChoiceOne Financial Services,Banks,163883282
COGT,Cogent Biosciences,Biotechnology,884449148
COHN,Cohen & Company,Capital Markets,22491914
COHU,"Cohu, Inc.",Semiconductors & Semiconductor Equipment,1403411578
COIN,Coinbase Global,Capital Markets,21999599580
COKE,Coca-Cola Consolidated,Beverages,4683939156
COLB,Columbia Banking System,Banks,2489256675
COLD,Americold Realty Trust,Equity Real Estate Investment Trusts ...,8663464949
COLI,Colicity,Blank Check / SPAC,424781279
COLL,Collegium Pharmaceutical,Pharmaceuticals,655223040
COLM,Columbia Sportswear Company,"Textiles, Apparel & Luxury Goods",4732591035
COMM,CommScope Holding Company,Communications Equipment,2090257659
COMP,Compass,Software-Application,1985391997
COMS,ComSovereign Holding,Telecom Services,13077282
CONN,Conn's,Specialty Retail,268803258
CONX,CONX Corp.,Blank Check / SPAC,932173180
COO,The Cooper Companies,Health Care Equipment & Supplies,16218881010
COOK,Traeger,"Furnishings, Fixtures & Appliances",466937407
COOL,Corner Growth Acquisition,Blank Check / SPAC,496000000
COOP,Mr. Cooper Group,Thrifts & Mortgage Finance,3294480885
COP,ConocoPhillips,"Oil, Gas & Consumable Fuels",1.27761E+11
CORR,CorEnergy Infrastructure Trust,Equity Real Estate Investment Trusts ...,38328777
CORS,Corsair Partnering,Blank Check / SPAC,289711420
CORT,Corcept Therapeutics,Pharmaceuticals,2995726822
CORZ,Core Scientific,Software-Infrastructure,1055562878
COSM,Cosmos Holdings,Health Care Providers & Services,6544232
COST,Costco Wholesale,Food & Staples Retailing,2.35745E+11
COTY,Coty Inc.,Personal Products,6226797049
COUP,Coupa Software,Software,5515208181
COUR,Coursera,Education & Training Services,1989665018
COVA,COVA Acquisition,Blank Check / SPAC,370124990
COWN,Cowen,Capital Markets,1065976889
CP,Canadian Pacific Railway,Road & Rail,75044298672
CPA,Copa Holdings,Airlines,2903471042
CPAA,Conyers Park III Acquisition,Blank Check / SPAC,434647480
CPAC,Cementos Pacasmayo,Construction Materials,431531835
CPAR,Catalyst Partners Acquisition,Blank Check / SPAC,440586720
CPB,Campbell Soup Company,Food Products,15055851489
CPE,Callon Petroleum Company,"Oil, Gas & Consumable Fuels",2509733336
CPF,Central Pacific Financial,Banks,654991792
CPG,Crescent Point Energy,"Oil, Gas & Consumable Fuels",4340504057
CPHC,Canterbury Park Holding,"Hotels, Restaurants & Leisure",102423784
CPHI,China Pharma Holdings,Pharmaceuticals,11350500
CPIX,Cumberland Pharmaceuticals,Pharmaceuticals,36030260
CPK,Chesapeake Utilities,Gas Utilities,2345837275
CPLP,Capital Product Partners,"Oil, Gas & Consumable Fuels",282585300
CPNG,Coupang,Internet & Direct Marketing Retail,32957442047
CPOP,Pop Culture Group ,Entertainment,36796500
CPRI,Capri Holdings,"Textiles, Apparel & Luxury Goods",7012075993
CPRT,Copart,Commercial Services & Supplies,30543355816
CPRX,Catalyst Pharmaceuticals,Biotechnology,1374703359
CPS,Cooper-Standard Holdings,Auto Components,187655014
CPSH,CPS Technologies,"Electronic Equipment, Instruments & C...",51671926
CPSI,Computer Programs & Systems,Health Care Technology,447796920
CPSS,Consumer Portfolio Services,Consumer Finance,275564563
CPT,Camden Property Trust,Equity Real Estate Investment Trusts ...,15271853936
CPTK,Crown PropTech Acquisitions,Blank Check / SPAC,340169980
CPTN,Cepton,Software-Application,265693551
CPUH,Compute Health Acquisition,Blank Check / SPAC,1061948219
CQP,Cheniere Energy Partners LP,"Oil, Gas & Consumable Fuels",23533540496
CR,Crane Co.,Machinery,5768588189
CRAI,CRA International,Professional Services,678498656
CRBP,Corbus Pharmaceuticals Holdings,Biotechnology,34676059
CRBU,Caribou Biosciences,Biotechnology,571291384
CRC,California Resources,"Oil, Gas & Consumable Fuels",3425067264
CRCT,Cricut,Computer Hardware,1523882748
CRDF,Cardiff Oncology,Biotechnology,130871398
CRDL,Cardiol Therapeutics,Drug Manufacturers-Specialty & Generic,72056184
CRDO,Credo Technology Group Holding,Communication Equipment,2161015550
CREC,Crescera Capital Acquisition,Blank Check / SPAC,267259658
CREG,China Recycling Energy,Commercial Services & Supplies,24334242
CRESY,Cresud SACIF y A.,Real Estate Management & Development,781624829
CREX,Creative Realities,Media,14558430
CRGE,Charge Enterprises,Information Technology Services,581365565
CRGY,Crescent Energy Company,Oil & Gas E&P,2667788528
CRH,CRH Plc,Construction Materials,29814153206
CRHC,Cohn Robbins Holdings,Shell Companies,1033964990
CRI,Carter's,"Textiles, Apparel & Luxury Goods",3239430864
CRIS,Curis,Biotechnology,98241735
CRK,Comstock Resources,"Oil, Gas & Consumable Fuels",4031422971
CRKN,Crown ElectroKinetics,Specialty Chemicals,11895276
CRL,Charles River Laboratories International,Life Sciences Tools & Services,11519011777
CRM,Salesforce.com,Software,1.85796E+11
CRMD,CorMedix,Pharmaceuticals,145538668
CRMT,America's Car-Mart,Specialty Retail,762154773
CRNC,Cerence,Software,916601904
CRNT,Ceragon Networks,Communications Equipment,219325855
CRNX,Crinetics Pharmaceuticals,Biotechnology,1101684463
CRON,Cronos Group,Pharmaceuticals,1153717375
CROX,Crocs,"Textiles, Apparel & Luxury Goods",4734750720
CRS,Carpenter Technology,Metals & Mining,1761686114
CRSP,CRISPR Therapeutics AG,Biotechnology,6042599913
CRSR,Corsair Gaming,"Technology Hardware, Storage & Periph...",1616007800
CRT,Cross Timbers Royalty Trust,"Oil, Gas & Consumable Fuels",110939999
CRTD,Creatd,Internet Content & Information,14191256
CRTO,Criteo,Media,1701925992
CRU,Crucible Acquisition,Blank Check / SPAC,319589087
CRUS,Cirrus Logic,Semiconductors & Semiconductor Equipment,4786260452
CRVL,CorVel,Health Care Providers & Services,2782363300
CRVS,Corvus Pharmaceuticals,Biotechnology,44924127
CRWD,CrowdStrike Holdings,Software,45964181310
CRWS,Crown Crafts,"Textiles, Apparel & Luxury Goods",62529111
CRXT,Clarus Therapeutics Holdings,Drug Manufacturers-General,16199245
CRZN,Corazon Capital V838 Monoceros,Blank Check / SPAC,250673016
CS,Credit Suisse Group AG,Capital Markets,14907439103
CSAN,Cosan,Oil & Gas Refining & Marketing,7334317564
CSBR,Champions Oncology,Life Sciences Tools & Services,127110550
CSCO,Cisco Systems,Communications Equipment,1.9007E+11
CSCW,Color Star Technology Co.,Entertainment,24708816
CSGP,CoStar Group,Professional Services,29244792770
CSGS,CSG Systems International,IT Services,1825832148
CSII,Cardiovascular Systems,Health Care Equipment & Supplies,664389311
CSIQ,Canadian Solar,Semiconductors & Semiconductor Equipment,2631807482
CSL,Carlisle Companies,Industrial Conglomerates,16100221927
CSPI,CSP Inc.,IT Services,36899995
CSR,Centerspace,"Electronic Equipment, Instruments & C...",1432813494
CSSE,Chicken Soup for the Soul Entertainment,Entertainment,211399694
CSTA,Constellation Acquisition I,Blank Check / SPAC,382462490
CSTE,Caesarstone,Building Products,358311289
CSTL,Castle Biosciences,Biotechnology,899620335
CSTM,Constellium SE,Metals & Mining,2088049911
CSTR,CapStar Financial Holdings,Banks,465715318
CSV,Carriage Services,Diversified Consumer Services,559096704
CSWC,Capital Southwest,Capital Markets,569057522
CSWI,CSW Industrials,Building Products,2124093830
CSX,CSX Corporation,Road & Rail,73144762362
CTAQ,Carney Technology Acquisition II,Blank Check / SPAC,507003740
CTAS,Cintas,Commercial Services & Supplies,43474415327
CTBI,Community Trust Bancorp,Banks,789272681
CTEK,CynergisTek,Health Care Providers & Services,16305618
CTG,Computer Task Group,IT Services,121204952
CTGO,Contango ORE,Metals & Mining,150089104
CTHR,Charles & Colvard,"Textiles, Apparel & Luxury Goods",40509216
CTIB,Yunhong CTI,Household Durables,5335944
CTIC,CTI BioPharma,Biotechnology,653138367
CTKB,Cytek Biosciences,Medical Devices,1991861626
CTLP,Cantaloupe,Information Technology Services,451554843
CTLT,Catalent,Pharmaceuticals,19702677439
CTMX,CytomX Therapeutics,Biotechnology,100903807
CTO,CTO Realty Growth,Real Estate Management & Development,404631343
CTOS,Custom Truck One Source,Trading Companies & Distributors,1768731898
CTRA,Coterra Energy,"Oil, Gas & Consumable Fuels",23334801379
CTRE,CareTrust REIT,Equity Real Estate Investment Trusts ...,2117166321
CTRM,Castor Maritime,Marine,168405967
CTRN,Citi Trends,Specialty Retail,248335932
CTS,CTS Corporation,"Electronic Equipment, Instruments & C...",1325596396
CTSH,Cognizant Technology Solutions,IT Services,35582185406
CTSO,CytoSorbents,Health Care Equipment & Supplies,85817335
CTT,CatchMark Timber Trust,Equity Real Estate Investment Trusts ...,544748413
CTV,Innovid,Advertising Agencies,491248508
CTVA,Corteva,Chemicals,43310022602
CTXR,Citius Pharmaceuticals,Pharmaceuticals,173894703
CTXS,Citrix Systems,Software,12999367635
CUBE,CubeSmart,Equity Real Estate Investment Trusts ...,11175965678
CUBI,Customers Bancorp,Banks,1265404892
CUE,Cue Biopharma,Biotechnology,117113423
CUEN,Cuentas,Diversified Telecommunication Services,11921675
CUK,Carnival,"Hotels, Restaurants & Leisure",11338465276
CULL,Cullman Bancorp,Banks,83390321
CULP,"Culp, Inc.","Textiles, Apparel & Luxury Goods",63569196
CURI,CuriosityStream,Broadcasting,124021007
CURO,CURO Group Holdings,Consumer Finance,305604377
CURV,Torrid Holdings,Apparel Retail,647962493
CUTR,Cutera,Health Care Equipment & Supplies,958215830
CUZ,Cousins Properties,Equity Real Estate Investment Trusts ...,4630851567
CVAC,CureVac,Biotechnology,2505550069
CVBF,CVB Financial,Banks,3799682296
CVCO,Cavco Industries,Household Durables,2475086150
CVCY,Central Valley Community Bancorp,Banks,203328120
CVE,Cenovus Energy,"Oil, Gas & Consumable Fuels",35839361020
CVEO,Civeo,Commercial Services & Supplies,409040011
CVET,Covetrus,Health Care Providers & Services,2909997297
CVGI,Commercial Vehicle Group,Machinery,253879520
CVGW,Calavo Growers,Food Products,766103834
CVI,CVR Energy,"Oil, Gas & Consumable Fuels",3187837946
CVII,Churchill Capital VII,Blank Check / SPAC,1693949950
CVLG,Covenant Logistics Group,Road & Rail,484326698
CVLT,Commvault Systems,Software,2623874554
CVLY,Codorus Valley Bancorp,Banks,195108746
CVM,Cel-Sci,Biotechnology,173312400
CVNA,Carvana Co.,Specialty Retail,8903088100
CVR,Chicago Rivet & Machine Co.,Machinery,26100055
CVRX,"CVRx, Inc.",Medical Devices,180864797
CVS,CVS Health,Health Care Providers & Services,1.36863E+11
CVT,Cvent Holding,Software-Application,3084893692
CVV,CVD Equipment,Semiconductors & Semiconductor Equipment,39027852
CVX,Chevron,"Oil, Gas & Consumable Fuels",3.12445E+11
CW,Curtiss-Wright,Aerospace & Defense,5535733139
CWAN,Clearwater Analytics Holdings,Software-Application,5365687802
CWBC,Community West Bancshares,Banks,119904036
CWBR,CohBar,Biotechnology,17135393
CWCO,Consolidated Water Co.,Water Utilities,224085415
CWEN,Clearway Energy,Independent Power and Renewable Elect...,7613203956
CWH,Camping World Holdings,Specialty Retail,1308175999
CWK,Cushman & Wakefield,Real Estate Management & Development,3649164798
CWST,Casella Waste Systems,Commercial Services & Supplies,4351804380
